"deuteronomy" "exodus" "genesis" "leviticus" "numbers"
"sons" 0.0363901018922853 0.0883912787271656 0.3201269563314 0.318471337579618 0.584174190122146
"one" 0.109170305676856 0.0883912787271656 0.350224362482215 0.405327156919514 0.247831474597274
"joseph" 0 0.0883912787271656 0.429572069607092 0 0.0354044963710391
"go" 0.527656477438137 0.766057748968768 0.207945715223815 0 0.354044963710391
"we" 0.709606986899563 0.117855038302887 0.281821166684908 0 0
"years" 0.0363901018922853 0 0.306446317171938 0 0.513365197380067
"abraham" 0.0181950509461426 0.147318797878609 0.366641129473569 0 0
"us" 0.564046579330422 0.412492634060106 0.257196016197877 0 0
"up" 0.363901018922853 0.176782557454331 0.2845572945168 0.0868558193398958 0.0177022481855196
"upon" 0.254730713245997 0.353565114908662 0.0902922184524461 1.59235668789809 0.354044963710391
"who" 0.218340611353712 0.235710076605775 0.303710189340046 0.0868558193398958 0
"came" 0.291120815138282 0.500883912787272 0.268140527525446 0 0
"these" 0.200145560407569 0.0589275191514437 0.254459888365984 0.115807759119861 0.336342715524872
"do" 0.309315866084425 0.176782557454331 0.246251504870308 0.202663578459757 0.123915737298637
"which" 0.909752547307133 0.176782557454331 0.1067089854438 0.752750434279097 0.106213489113117
"man" 0.218340611353712 0.206246317030053 0.232570865710846 0.144759698899826 0.300938219153833
"now" 0.0727802037845706 0.383028874484384 0.292765678012477 0 0.0177022481855196
"let" 0.109170305676856 0.500883912787272 0.270876655357338 0.0289519397799653 0.0177022481855196
"before" 0.436681222707424 0.0589275191514437 0.180584436904892 0.60799073537927 0.177022481855196
"went" 0.145560407569141 0.235710076605775 0.281821166684908 0 0
"pharaoh" 0 0.707130229817325 0.257196016197877 0 0
"earth" 0.181950509461426 0 0.290029550180584 0 0
"ye" 1.40101892285298 0.79552150854449 0 0.144759698899826 0.106213489113117
"egypt" 0.163755458515284 0.648202710665881 0.216154098719492 0 0.0354044963710391
"israel" 0.200145560407569 0.707130229817325 0.1067089854438 0.0868558193398958 0.619578686493185
"at" 0.363901018922853 0.117855038302887 0.199737331728138 0.347423277359583 0.0354044963710391
"thy" 1.20087336244541 0.824985268120212 0 0.231615518239722 0.159320233669676
"thou" 0.96433770014556 0.854449027695934 0 0.260567458019687 0.318640467339352
"every" 0.127365356622999 0.117855038302887 0.202473459560031 0.0289519397799653 0.38944946008143
"hundred" 0 0 0.169639925577323 0 0.8143034165339
"may" 0.327510917030568 0.206246317030053 0.210681843055708 0.0289519397799653 0.0531067445565587
"made" 0.145560407569141 0.206246317030053 0.172376053409215 0.636942675159236 0.0885112409275978
